id,name,genre,status,score,review,publish_year,duration,link
4025,Fairy Tail OVA (2016),Giả tưởng,Hoàn thành,9.4,71,2016,3 Tập,https://animehay.in/thong-tin-phim/fairy-tail-ova-2016-2158.html
4025,Fairy Tail OVA (2016),Ecchi,Hoàn thành,9.4,71,2016,3 Tập,https://animehay.in/thong-tin-phim/fairy-tail-ova-2016-2158.html
4025,Fairy Tail OVA (2016),Shounen,Hoàn thành,9.4,71,2016,3 Tập,https://animehay.in/thong-tin-phim/fairy-tail-ova-2016-2158.html
4025,Cyclops Shoujo Saipuu,Anime,Hoàn thành,9.2,86,2013,12 Tập,https://animehay.in/thong-tin-phim/cyclops-shoujo-saipuu-2157.html
4025,Cyclops Shoujo Saipuu,Tình cảm,Hoàn thành,9.2,86,2013,12 Tập,https://animehay.in/thong-tin-phim/cyclops-shoujo-saipuu-2157.html
4025,Cyclops Shoujo Saipuu,Học đường,Hoàn thành,9.2,86,2013,12 Tập,https://animehay.in/thong-tin-phim/cyclops-shoujo-saipuu-2157.html
4025,Cyclops Shoujo Saipuu,Đời thường,Hoàn thành,9.2,86,2013,12 Tập,https://animehay.in/thong-tin-phim/cyclops-shoujo-saipuu-2157.html
4025,Cyclops Shoujo Saipuu,Ecchi,Hoàn thành,9.2,86,2013,12 Tập,https://animehay.in/thong-tin-phim/cyclops-shoujo-saipuu-2157.html
4025,Suzumiya Haruhi No Shoushitsu,Anime,Đang tiến hành,9.2,53,2010,7 Tập,https://animehay.in/thong-tin-phim/suzumiya-haruhi-no-shoushitsu-389.html
4025,Suzumiya Haruhi No Shoushitsu,Tình cảm,Đang tiến hành,9.2,53,2010,7 Tập,https://animehay.in/thong-tin-phim/suzumiya-haruhi-no-shoushitsu-389.html
4025,Suzumiya Haruhi No Shoushitsu,Hài hước,Đang tiến hành,9.2,53,2010,7 Tập,https://animehay.in/thong-tin-phim/suzumiya-haruhi-no-shoushitsu-389.html
4025,Suzumiya Haruhi No Shoushitsu,Viễn tưởng,Đang tiến hành,9.2,53,2010,7 Tập,https://animehay.in/thong-tin-phim/suzumiya-haruhi-no-shoushitsu-389.html
4025,Suzumiya Haruhi No Shoushitsu,Học đường,Đang tiến hành,9.2,53,2010,7 Tập,https://animehay.in/thong-tin-phim/suzumiya-haruhi-no-shoushitsu-389.html
4025,Suzumiya Haruhi No Shoushitsu,Siêu nhiên,Đang tiến hành,9.2,53,2010,7 Tập,https://animehay.in/thong-tin-phim/suzumiya-haruhi-no-shoushitsu-389.html
4025,HAIKYUU!! OVA,Anime,Đang tiến hành,9.0,49,2015,2 Tập,https://animehay.in/thong-tin-phim/haikyuu-ova-2156.html
4025,HAIKYUU!! OVA,Shounen,Đang tiến hành,9.0,49,2015,2 Tập,https://animehay.in/thong-tin-phim/haikyuu-ova-2156.html
4025,HAIKYUU!! OVA,Thể thao,Đang tiến hành,9.0,49,2015,2 Tập,https://animehay.in/thong-tin-phim/haikyuu-ova-2156.html
4025,Idol Jihen,Anime,Đang tiến hành,8.2,13,2017,12 Tập,https://animehay.in/thong-tin-phim/idol-jihen-2155.html
4025,Idol Jihen,Âm nhạc,Đang tiến hành,8.2,13,2017,12 Tập,https://animehay.in/thong-tin-phim/idol-jihen-2155.html
4025,Nyanpire The Animation,Anime,Hoàn thành,,7,2011,12 Tập,https://animehay.in/thong-tin-phim/nyanpire-the-animation-2154.html
4025,Nyanpire The Animation,Hài hước,Hoàn thành,,7,2011,12 Tập,https://animehay.in/thong-tin-phim/nyanpire-the-animation-2154.html
4025,Nyanpire The Animation,Siêu nhiên,Hoàn thành,,7,2011,12 Tập,https://animehay.in/thong-tin-phim/nyanpire-the-animation-2154.html
4025,Namiuchigiwa no Muromi-san,Anime,Hoàn thành,8.9,24,2013,13 Tập,https://animehay.in/thong-tin-phim/namiuchigiwa-no-muromi-san-2153.html
4025,Namiuchigiwa no Muromi-san,Hài hước,Hoàn thành,8.9,24,2013,13 Tập,https://animehay.in/thong-tin-phim/namiuchigiwa-no-muromi-san-2153.html
4025,Namiuchigiwa no Muromi-san,Giả tưởng,Hoàn thành,8.9,24,2013,13 Tập,https://animehay.in/thong-tin-phim/namiuchigiwa-no-muromi-san-2153.html
4025,Namiuchigiwa no Muromi-san,Ecchi,Hoàn thành,8.9,24,2013,13 Tập,https://animehay.in/thong-tin-phim/namiuchigiwa-no-muromi-san-2153.html
4025,Mouretsu Pirates: Abyss of Hyperspace,Anime,Hoàn thành,4.1,13,2014,92 phút,https://animehay.in/thong-tin-phim/mouretsu-pirates-abyss-of-hyperspace-2152.html
4025,Mouretsu Pirates: Abyss of Hyperspace,Hài hước,Hoàn thành,4.1,13,2014,92 phút,https://animehay.in/thong-tin-phim/mouretsu-pirates-abyss-of-hyperspace-2152.html
4025,Mouretsu Pirates: Abyss of Hyperspace,Viễn tưởng,Hoàn thành,4.1,13,2014,92 phút,https://animehay.in/thong-tin-phim/mouretsu-pirates-abyss-of-hyperspace-2152.html
4025,Mouretsu Pirates: Abyss of Hyperspace,Ecchi,Hoàn thành,4.1,13,2014,92 phút,https://animehay.in/thong-tin-phim/mouretsu-pirates-abyss-of-hyperspace-2152.html
4025,Z/X: Ignition,Anime,Hoàn thành,7.6,42,2014,12 Tập,https://animehay.in/thong-tin-phim/z-x-ignition-2151.html
4025,Z/X: Ignition,Viễn tưởng,Hoàn thành,7.6,42,2014,12 Tập,https://animehay.in/thong-tin-phim/z-x-ignition-2151.html
4025,Z/X: Ignition,Giả tưởng,Hoàn thành,7.6,42,2014,12 Tập,https://animehay.in/thong-tin-phim/z-x-ignition-2151.html
4025,Z/X: Ignition,Phiêu lưu,Hoàn thành,7.6,42,2014,12 Tập,https://animehay.in/thong-tin-phim/z-x-ignition-2151.html
4025,Z/X: Ignition,Trò chơi,Hoàn thành,7.6,42,2014,12 Tập,https://animehay.in/thong-tin-phim/z-x-ignition-2151.html
4025,Kuragehime,Anime,Hoàn thành,9.1,15,2010,11 Tập,https://animehay.in/thong-tin-phim/kuragehime-1707.html
